WUSTLID,wave,ECON2A,ECON2B,ECON1A,ECON1B,ECON4A,ECON4B
989878,31,2,2,3,3,2,4
989878,32,NA,NA,NA,NA,NA,NA
989878,33,2,2,3,3,2,4
989878,34,NA,NA,NA,NA,NA,NA
989878,35,2,2,3,3,3,3
989878,36,NA,NA,NA,NA,NA,NA
989878,37,2,2,3,3,2,3
989878,38,2,2,3,3,3,3
989878,39,3,2,3,3,3,3
989878,40,NA,NA,NA,NA,NA,NA
989878,41,3,2,3,3,2,3
989878,42,NA,NA,NA,NA,NA,NA
989878,43,3,2,3,3,3,3
989878,44,NA,NA,NA,NA,NA,NA
989878,45,2,2,3,3,2,4
989878,46,3,2,3,3,4,3
989878,47,3,2,3,3,3,3
989878,48,NA,NA,NA,NA,NA,NA
989878,49,3,2,2,2,3,3
989878,50,3,2,3,2,3,3
989878,51,2,2,3,3,3,3
989878,52,NA,NA,NA,NA,NA,NA
989878,53,3,2,3,3,3,3
989878,54,NA,NA,NA,NA,NA,NA
989878,55,3,2,3,3,3,3
989878,56,NA,NA,NA,NA,NA,NA
989878,57,NA,NA,NA,NA,NA,NA
989878,58,NA,NA,3,2,NA,NA
989878,59,3,2,3,3,4,2
989878,60,3,2,3,3,4,2
989878,61,NA,2,3,3,NA,NA
989878,62,NA,NA,NA,NA,NA,NA
989878,64,NA,NA,NA,NA,NA,NA
989878,66,NA,NA,NA,NA,NA,NA
989878,68,NA,NA,NA,NA,NA,NA
989878,69,NA,NA,NA,NA,NA,NA
989879,1,1,1,2,2,3,3
989879,2,NA,NA,NA,NA,NA,NA
989879,3,2,2,3,3,2,3
989879,4,NA,NA,NA,NA,NA,NA
989879,5,2,2,4,4,2,3
989879,6,NA,NA,NA,NA,NA,NA
989879,7,NA,NA,NA,NA,NA,NA
989879,8,NA,NA,NA,NA,NA,NA
989879,9,NA,NA,NA,NA,NA,NA
989879,10,NA,NA,NA,NA,NA,NA
989879,11,NA,NA,NA,NA,NA,NA
989879,12,NA,NA,NA,NA,NA,NA
989879,13,NA,NA,NA,NA,NA,NA
989879,26,NA,NA,NA,NA,NA,NA
989879,27,NA,NA,NA,NA,NA,NA
989879,28,NA,NA,NA,NA,NA,NA
989879,29,NA,NA,NA,NA,NA,NA
989879,30,NA,NA,NA,NA,NA,NA
989879,31,NA,NA,NA,NA,NA,NA
989879,32,NA,NA,NA,NA,NA,NA
989879,33,NA,NA,NA,NA,NA,NA
989879,34,NA,NA,NA,NA,NA,NA
989879,35,NA,NA,NA,NA,NA,NA
989879,36,NA,NA,NA,NA,NA,NA
989879,37,NA,NA,NA,NA,NA,NA
989879,38,NA,NA,NA,NA,NA,NA
989879,39,NA,NA,NA,NA,NA,NA
989879,40,NA,NA,NA,NA,NA,NA
989879,41,NA,NA,NA,NA,NA,NA
989879,42,NA,NA,NA,NA,NA,NA
989879,43,NA,NA,NA,NA,NA,NA
989879,44,NA,NA,NA,NA,NA,NA
989879,45,NA,NA,NA,NA,NA,NA
989879,46,NA,NA,NA,NA,NA,NA
989879,47,NA,NA,NA,NA,NA,NA
989879,48,NA,NA,NA,NA,NA,NA
989879,49,NA,NA,NA,NA,NA,NA
989879,50,NA,NA,NA,NA,NA,NA
989879,51,NA,NA,NA,NA,NA,NA
989879,52,NA,NA,NA,NA,NA,NA
989879,53,NA,NA,NA,NA,NA,NA
989879,54,NA,NA,NA,NA,NA,NA
989879,55,NA,NA,NA,NA,NA,NA
989879,56,NA,NA,NA,NA,NA,NA
989879,57,NA,NA,NA,NA,NA,NA
989879,58,NA,NA,NA,NA,NA,NA
989879,59,NA,NA,NA,NA,NA,NA
989879,60,NA,NA,NA,NA,NA,NA
989879,61,NA,NA,NA,NA,NA,NA
989879,62,NA,NA,NA,NA,NA,NA
989879,64,NA,NA,NA,NA,NA,NA
989879,66,NA,NA,NA,NA,NA,NA
989879,68,NA,NA,NA,NA,NA,NA
989879,69,NA,NA,NA,NA,NA,NA
989880,1,NA,NA,NA,NA,NA,NA
989880,2,NA,NA,NA,NA,NA,NA
989880,3,NA,2,3,2,4,2
989880,4,NA,NA,NA,NA,NA,NA
989880,5,2,1,4,4,2,4
989880,6,NA,NA,NA,NA,NA,NA
989880,7,2,1,3,2,2,2
989880,8,2,1,2,2,2,2
989880,9,3,2,3,2,2,4
989880,10,NA,NA,NA,NA,NA,NA
989880,11,3,2,4,4,3,3
